Q1.1: What type of booking did you make today? (select all that apply) *,Subsite,Q1.7: Please share why you are dissatisfied with the overall website. *,Q1.5: Overall experience,Start Date (+00:00 GMT)
Hotel,emtravelus,"Not particularly effective for finding a hotel from scratch - I usually use google and go to booking tool after knowing desired hotel.  Also, some cities the ExxonMobil price guidances are not realistic.",3,1/25/2019 21:23
"Air,Hotel",eytravelerllp,"Seems outdated. Could use a feature with client locations saved near an airport, or even ask to input the address before showing hotels. Can be confusing.",3,1/25/2019 19:55
"Air,Hotel,Car",cernerus,"It is not possible to look up Cerner offices, even though the website claims that the functionality is there.",1,1/25/2019 3:15
"Air,Hotel,Car",wellpointus,Hard to find the hotel that's in policy. ,3,1/17/2019 18:55
"Air,Hotel",mmc_bcd,"The hotel booking feature automatically picks the hotel nearest the airport, while, in my experience, the traveler most often does not want to stay near the airport",2,1/24/2019 13:53
"Air,Hotel",mitreatlas,"Hotel booking should not be required, and I should be able to change hotel bookings once made without having to go back through Atlas.  Why do we want to just hand them $40?",2,1/24/2019 3:03
"Air,Hotel",ngpproduction,Not enough options.  I had to search outside of website ,3,1/23/2019 23:11
"Air,Hotel,Car",mitreatlas,"It doesn't remember my travel preferences , such as preferred hotels.",1,1/23/2019 18:00
"Air,Hotel",eytravelerllp,"Would be nice if you could compare hotels, view the results on a map, or simply search by zip code. ",2,1/23/2019 17:35
Hotel,cernerus,slow doesn't display quickly what I'm looking for keep having to put in my search parameters,1,1/23/2019 16:35
Hotel,eytravelerllp,"Cannot put a high and low price limit on search cannot search price high to low. 

Enter city and select Princeton, NJ and dates and then have to reselect Princeton from a list of all US cities name Princeton. Just awful user experience in every way",1,1/22/2019 21:26
Hotel,mmc_marsh,See prior comment.,2,1/15/2019 19:58
Hotel,emtravelus,Rates at Marriott Tang Plaza are always over Company approved rate by $5-10SGD,3,1/15/2019 16:03
"Air,Hotel",p66shuttle,"When booking a trip to Houston, headquarters should be the default location. When you search for the P66 locations, the HQ is not listed. You have to find the address and then find the general area on the map. It's time consuming and frustrating if you don't know the area.",2,1/22/2019 14:57
Hotel,accenture2us,It is very difficult to see an apples to apples comparison of prices across hotels when the government rate does not apply,2,1/22/2019 4:19
"Air,Hotel",accenture2us,searchs were not that great.  timed out frequently causing me to loose my airfare selections and start over.,3,1/22/2019 3:22
"Air,Hotel,Car",teradataus,The views are somewhat antiquated and the 'search on the map' features are very clumsy. It is also not mobile-friendly.  As a frequent traveler i would appreciate mobile-friendly capabilities. ,3,1/22/2019 3:06
"Air,Hotel,Car",teradataus,Did have my hotel listed. Was restricted to looking at only hotels within a 15mile radius. ,3,1/22/2019 0:27
"Air,Hotel",teradataus,I already stated that.,2,1/21/2019 3:58
"Air,Hotel",mmc_bcd,Tells you one price and availability and then hotel not available or at a higher price.  ,1,1/20/2019 20:28
"Air,Hotel",m_fidelity_us,Can't see the details for the hotel.  Used to sites like Hotels.com or Expedia. ,3,1/19/2019 0:36
Hotel,cernerus,have to enter complete project information when trips are booked  ,3,1/11/2019 21:17
"Air,Hotel,Car",emtravelus,I wasn't dissatisfied.  I guess the number rank was different then the last one and selected the wrong one.  Do not like how I can not go back to correct that.,2,1/18/2019 19:18
"Hotel,Rail",novartisuscwt,because the site didn't recognize Washington DC,2,1/18/2019 16:41
"Air,Hotel,Car",emtravelau,Limited options - 80 km default is too far - just so me where is company preferred and I'll pick from a short list,3,1/18/2019 3:10
Hotel,emtravelus,Same issue with rewards number,2,1/18/2019 1:20
"Air,Hotel,Car",eytravelerllp,"Many hotels are missing photos (appears to be legacy SPG properties), and  incomplete info - i.e. one preferred hotel had a better rate in the Marriott app than via our tools",2,1/10/2019 21:37
"Air,Hotel",eytravelerllp,I had to try a myriad of search options to get the one hotel I always stay at to pop up as an option,2,1/17/2019 19:13
"Air,Hotel",foxcablenetwork,"I looked at hotels yesterday, and the Hyatt Regency London The Churchill was listed and price was compliant.  Today when booking air and hotel, this hotel does not show up at all.  Very Frustrating and a waste of time.",3,1/17/2019 19:11
"Air,Hotel,Car",m_fidelity_us,"Challenging to view all options by hotel brand (for example ""Marriott"" broken down by sub-brand but ""Marriott"" is preferred).  Hotel names often abbreviated in odd ways which take too much deciphering.  ""Lowest price"" displayed often isn't ""Fidelity Rate"" but a Senior Discounted rate.  Deceiving.  ",3,1/17/2019 17:25
"Air,Hotel",accenture2ca,told you already,1,1/17/2019 16:57
"Air,Hotel",wellpointus,"I select a hotel it is an anthem preferred hotel when i click to add it to my booking it says the hotel is not available at this time.  Really they why is it showing as an available hotel. Start the booking again, same issue - call an agent yes of course that hotel is available and it is now booked for your traveler.  This is a total waste of my time and for that matter your agents time and really not acceptable",2,1/16/2019 22:27
"Air,Hotel,Car",m_fidelity_us,doesn't use my preferences as a default for search.,3,1/16/2019 19:09
"Air,Hotel",mitreatlas,"If air and hotel are booked at different times, you ask the traveler to re-enter the same information that was previously entered. ",3,1/16/2019 14:33
Hotel,eytravelerllp,Hotel was fine. Couldn't book car,2,1/16/2019 10:58
Hotel,mitreatlas,Hard to modify reservations. Rate descriptions unclear.,1,1/16/2019 5:00
"Air,Hotel,Car",toyotacorp_bcd,"I don't like ""Tripsource"" rates where we don't get hotel points in loyalty programs.  You should negotiate with the hotel companies for frequent travelers to get points for even the lowest rates.",1,1/15/2019 20:26
"Hotel,Car",cernerus,it is difficult to book hotel and car without a flight.  It doesn't happen very often that a flight isn't needed but it is more challenging to do so. ,3,1/15/2019 17:02
"Air,Hotel,Car",cernerus,"The search window show a Cerner Preferred Hotel at rate of 115.  When I clicked view rates, the lowest one was 165; none of those rates would allow me to select them.  I wasted about 15 minutes fiddling around and tried one last time and then the rates showed as the Cerner Preferred rate in the View rates window, so I was finally able to select the expected rate.  I needed to book a second hotel for the trip and the rate listed for the desired hotel was significantly higher (more than double) what Google showed that the hotel could be booked for; not super reliable, but frustrating that other booking tools appear to show a much lower rate than what we have available.",2,1/15/2019 15:17
"Air,Hotel,Car",teradataus,"Not very many options for Hotels.  Again, I put in an exact address for hotels and it pops up nothing that I was looking for.  IT's like it doesn't even look at my address, it just sends me whatever it wants.  Stinks..",1,1/15/2019 7:50
"Air,Hotel",eytravelerllp,had to scroll down; wasn't simple to use ,1,1/8/2019 3:54
Hotel,accenture2us,see previous comments,1,1/15/2019 2:16
"Air,Hotel,Car",wellpointus,"I am going to a place with no preferred hotels close by.  I had to reach out on ""chat"" to resolve the issue.  I'm not a fan of chat, we should have live people to speak with.  Also, we need to have guidelines we can follow when we are Anthem Employees that travel outside of our plan sitused states. It creates a lot of confusion and adds a lot of extra time to the travel booking process.  ",2,1/15/2019 0:19
"Air,Hotel",toyotacorp_bcd,"The hotel list doesn't have the Toyota Corporate rates and it made me remove the hotel.  I was able to go online to Marriott.com and get the Toyota rate for the hotel, which was significantly cheaper than what was offered.",2,1/7/2019 21:57
"Air,Hotel,Car",alcon_us,NO PICTURES OF THE HOTELS INCLUDED,3,1/14/2019 21:28
"Air,Hotel",eytravelerllp,Please look at last response. ,1,1/14/2019 17:45
"Air,Hotel,Car",mitreatlas,The map view sucked,1,1/14/2019 17:13
"Air,Hotel",accenture2us,I was unable to find the hotel in China.  Search does not seem to be configured for addresses in China.,2,1/14/2019 16:29
"Air,Hotel",emtravelus,Total cost not visible on initial page - rates are changing every day and we need the total first for real comparison.,1,1/14/2019 15:38
"Air,Hotel,Car",emtravelus,see previous comment.,1,1/14/2019 14:31
"Air,Hotel",eytravelerllp,"it showed me a hotel room type that was available and then later told me in the booking it was unavailable, but still showed up with a ""select rate"" button. very confusing and added 5 minutes to my search at the very least.",2,1/12/2019 13:21
"Air,Hotel,Car",eytravelerllp,"hard to navigate, price showed but then disappear or telling me 'cannot be booked"" . How hard is it to make it a but accurate? Honestly I think this inconvenience is by design",2,1/12/2019 5:30
"Air,Hotel",eytravelerllp,very difficult to find an available hotel around my client,2,1/12/2019 4:04
Hotel,accenture2us,"The website kept throwing me out, although there were rooms available at same rate.",1,1/12/2019 0:58
Hotel,toyotacorp_bcd,Efficiency is non existent,2,1/11/2019 22:38
"Air,Hotel,Car",flexus,"My company wants us to reserve through them for corporate rates, but then that does not show up on the itinerary, so it is hard to know the room has in fact been booked.  ",3,1/11/2019 19:52
Hotel,toyotacorp_bcd,already mentioned that i can't modify dates when my travel schedule changes,2,1/11/2019 17:51
Hotel,accenture2us,I am doing an extended stay and would like to have kitchen's included in my search.,2,1/11/2019 15:01
"Air,Hotel,Car",phillips66na,second leg of trip ignored,1,1/10/2019 23:46
"Air,Hotel",flexus,"Prices kept changing and by the time I was going to purchase, there was a message saying I couldn't since room was not available.",1,1/10/2019 19:16
"Air,Hotel",accenture2ca,didnt show me other amenities ,2,1/10/2019 19:12
"Air,Hotel",mitreatlas,Would like to see user ratings of the hotels. ,2,1/10/2019 15:53
"Air,Hotel",p66shuttle,"The hotels closest to the Houston Headquarters do not automatically pull up first since the address is set for the airport instead of the Headquarters building.  So, I either have to manually look up and enter the Houston Headquarters address to find the nearest hotels or do a manual search for the hotels I am familiar with. It used to be an easier process when the P66 preferred hotels appeared first.",2,1/10/2019 15:03
"Air,Hotel,Car",emtravelus,as stated prior,1,1/10/2019 15:00
Hotel,toyotacorp_bcd,"There are times when you show a room listed at a certain price, but when you select that room your system say select another.",2,1/10/2019 12:38
"Air,Hotel",eytravelerllp,see previous comments,3,1/10/2019 3:14
"Air,Hotel",accenture2us,Go to AirBnB or any hote app and take a look at their UI... why do you make it so difficult to use this service ??! ,1,1/9/2019 23:44
"Air,Hotel,Car",eytravelerllp,"I am asked to enter preference selections on the room, eg non-smoking room, high floor, etc... however, every time I get to the hotel these selections seem to be ignored. this may be a hotel issue and not a site issue, but what is the point of having this feature if it is not automated to the hotel?",3,1/9/2019 20:49
Hotel,eytravelerllp,"Very poor design, lacks usability.",1,1/2/2019 20:16
"Air,Hotel",wellpointus,See comments from last text box.,2,1/8/2019 20:53
"Air,Hotel,Car",eytravelerllp,See prior comment - repeated error on rate that is clearly available.,1,1/8/2019 19:53
Hotel,eytravelerllp,see previous comments,1,1/8/2019 20:37
"Air,Hotel",accenture2us,it should remember the hotel you frequently use at the location you travel to.,3,1/8/2019 19:37
"Air,Hotel,Car",accenture2us,It shows long list and not that intuitive. It also shows govt rates in the main screen instead of Accenture rate which in many cases are not in acceptable range. ,2,1/8/2019 17:05
"Air,Hotel,Car",ngsgovtbasic,"just kept saying ""GDB not available at this time, please try again later"".  (cant remember the exact 3 letter acronym used)  Was unable to complete hotel booking and not sure what the message meant. There was no explanation of the message. ",1,1/8/2019 16:01
"Air,Hotel",mmc_marsh,The distance from the hotel to the Marsh office doesn't seem correct... or I am not doing it correctly.,3,1/8/2019 14:56
"Air,Hotel,Car",eytravelerllp,Site is outdated and doesn't have the search features of other modern sites.,3,1/8/2019 3:35
"Air,Hotel,Car",eytravelerllp,"The address search feature does not work properly and returns invalid/error dialogues box popping up. Also, there was a hotel that showed up but then when I clicked further on it they response came back saying it was sold out. ",3,1/7/2019 19:42
"Air,Hotel",cernerus,"It's difficult to understand which of the many room options are ""preferred"" and why. The custom descriptions are cut off. I don't know what ""Travel and Transport Semi Fle"" means.",3,1/7/2019 21:14
"Air,Hotel,Car",mmc_marsh,Unable to book all segments at the same time.,2,1/7/2019 21:13
"Air,Hotel,Car",emtravelus,Tried to book one hotel for one night and a different hotel the next night in the same general area. Date of 2nd hotel kept defaulting to the dates for the full duration of the trip when a hotel was already booked for the first night. Overall the sight is not very user friendly. ,3,1/7/2019 18:05
"Air,Hotel",accenture2us,All options were out of policy,2,1/7/2019 3:23
Hotel,eytravelerllp,Same reasons as last question. ,3,1/5/2019 20:03
"Air,Hotel,Car",eytravelerllp,already shared,2,1/5/2019 13:35
"Air,Hotel",toyotacorp_bcd,As I already mentioned,2,1/4/2019 21:43
"Air,Hotel",novartisuscwt,Difficulty in scheduling,2,1/4/2019 20:55
"Air,Hotel,Car",phillips66na,they don't work,1,1/4/2019 19:04
"Air,Hotel",p66shuttle,See other feedback,3,1/4/2019 18:27
"Hotel,Car",mmc_bcd,see previous,2,1/4/2019 16:09
"Air,Hotel",cernerus,slow and old user interface,2,1/3/2019 22:13
"Air,Hotel",eytravelerllp,"Would statewhen stepping into hotels,would state there no rooms now available when the ""invalid expiration"" error  was thrown.   ",1,1/3/2019 20:52
"Air,Hotel,Car",eytravelerllp,Shows options that are unavailable,2,1/3/2019 18:36
"Air,Hotel",wellpointus,prev comment,2,1/3/2019 18:03
"Air,Hotel,Car",eytravelerllp,See previous answer,2,1/3/2019 17:38
Hotel,toyotacorp_bcd,Rate.,1,1/3/2019 17:01
"Air,Hotel",mmc_marsh,"can't hide the hotels that are outside of company policy, and when I try to hide the hotels that are sold out they still show up in the list.",3,1/3/2019 15:07
"Air,Hotel",emtravelde,"The choise of room rates is not clear. Too many options which do not seem to be different from each other.
For night #4 the tool did not find a hotel for me (despite me knowing that there is one)",2,1/3/2019 9:11
"Air,Hotel",eytravelerllp,See previous note,1,1/2/2019 22:40
"Air,Hotel",emtravelus,every hotel i tried to book was not available,1,1/2/2019 22:36
"Air,Hotel,Car",accenture2us,I've already provide this information.,1,1/2/2019 21:21
"Air,Hotel",m_fidelity_us,"It would have been easier if it listed that no king-sized beds were available instead of letting me make that selection, then go back and adjust later. ",3,1/2/2019 20:27
"Air,Hotel",eytravelerllp,See previous comment,1,1/2/2019 20:14
"Air,Hotel",mmc_marsh,continual re keying of information,2,1/1/2019 17:01
"Air,Hotel,Car",accenture2us,"Site doesn't learn from previous booking
",3,1/1/2019 15:55
